Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;GOR;u1;w_inj
8110466,457873217;4301006,867838545;8.06639e+06;1.31975e+07;2.00003;11.0384;13,588728498312642;2,5522034392496744;11,036525059062969;0.551919;209,77886892691672;90,74597018056645;1935,024574336847;679,594864771172;2938,780521846875;1;0,05;0,7000000000000001;2,0
7788081,73417549;2617424,5835236963;7.78762e+06;1.28305e+07;0.200103;12.1102;12,920916106269885;0,8051072316612364;12,115808874608648;0.605511;323,24417414396885;87,13888855643314;1858,1088548790196;347,41055440649296;5228,073618871653;1;0,05;0,8;0,2
7578602,741707736;2757274,591203218;7.57672e+06;1.26486e+07;0.400001;12.6078;13,635478057137195;1,0306715327150298;12,604806524422164;0.630392;293,5049045603779;84,79508077390041;1808,130595263762;382,6636027282162;4679,862131848685;1;0,05;0,8;0,4
7453587,226857298;2878352,5885183634;7.44927e+06;1.25459e+07;0.599977;12.8801;14,125471485036357;1,2438023301169634;12,881669154919393;0.644004;271,5595188002462;83,3963136078377;1778,3039392180867;412,44431784558014;4271,555952796426;1;0,05;0,8;0,6000000000000001
7374391,839167013;2987996,5296426904;7.36663e+06;1.24855e+07;0.800016;13.0375;14,487390894340786;1,4521197015174858;13,0352711928233;0.651877;253,95276623807376;82,51021632513398;1759,4092156962265;439,05312065800206;3941,2566951964263;1;0,05;0,8;0,8
7328346,553552899;3088853,7606685846;7.31615e+06;1.24554e+07;1.00006;13.1155;14,770585203774083;1,655939277243669;13,114645926530414;0.655776;239,5266604023931;81,99502720043971;1748,423564049868;463,1828232222106;3668,297992134751;1;0,05;0,8;1,0
7305433,210614109;3182965,3765120446;7.28782e+06;1.24458e+07;1.20003;13.1401;14,99998321040188;1,8567018543823584;13,143281356019521;0.657003;227,37228305896767;81,73865556684001;1742,9568153866362;485,4458602087098;3436,389912994648;1;0,05;0,8;1,2
7298239,128043141;3271814,847516838;7.27424e+06;1.24499e+07;1.39999;13.1297;15,187891379595225;2,056256649851944;13,13163472974328;0.656484;216,81987247967675;81,65816278558599;1741,2404250116883;506,32666906517744;3233,4956205832837;1;0,05;0,8;1,4000000000000001
7304034,939884334;3356184,3981987145;7.27271e+06;1.24649e+07;1.59997;13.0908;15,346445724496133;2,2543552641101026;13,09209046038603;0.654541;207,59882068428396;81,72301066717762;1742,6232108723034;526,0067447833567;3054,766032271902;1;0,05;0,8;1,6
7319998,690734451;3436745,919524298;7.28044e+06;1.24884e+07;1.79996;13.0301;15,482333966884402;2,4513458108592956;13,030988156025106;0.651506;199,44396554682285;81,90162506206343;1746,431900588735;544,6793767026346;2895,4342040200095;1;0,05;0,8;1,8
7344091,250177759;3514011,701431756;7.29541e+06;1.25183e+07;1.99995;12.9523;15,600323019659655;2,647467779938143;12,952855239721512;0.647613;192,1613143355735;82,17119065267056;1752,1799910128336;562,4901659386552;2752,0084468565515;1;0,05;0,8;2,0
7357298,179241984;2352523,7953476775;7356701.72794171;12431022.525405785;0.19356257800399856;13.173551922453072;13,99473011801327;0,8529934289186897;13,141736689094584;0.6586775961226536;305,55321374120314;82,31895966167444;1755,330948164748;319,5311869508057;4950,810070768467;0;0,05;0,9;0,2
7095422,573321498;2438625,659762716;7.09341e+06;1.22063e+07;0.399945;13.7424;14,825501847922753;1,0873513876232626;13,738150460299492;0.687119;273,9421006137301;79,38889934402043;1692,8517140161894;346,5542046908943;4378,542080218961;1;0,05;0,9;0,4
6939717,651725333;2511922,3393477914;6.93508e+06;1.20805e+07;0.600006;14.0485;15,348789743975207;1,302600058747873;14,046189685227333;0.702426;251,58121003528734;77,64675612136807;1655,7030677331768;368,27059134641996;3971,133385726251;1;0,05;0,9;0,6000000000000001
6838121,941931093;2579123,354992121;6.82976e+06;1.20047e+07;0.799994;14.2297;15,738836505695602;1,5116634973755194;14,227173008320083;0.711484;233,83427946838842;76,51002726620935;1631,4639939240237;387,38478663943226;3645,910872280099;1;0,05;0,9;0,8
6774154,080364232;2641807,976914661;6.76096e+06;1.19632e+07;1.00002;14.3278;16,04640332045586;1,7162137085784765;14,330189611877383;0.71639;219,3230651064106;75,79430694501549;1616,2023089466454;404,60370052184066;3378,3949616319615;1;0,05;0,9;1,0
6734220,439572453;2700994,428284605;6.71511e+06;1.1943e+07;1.19992;14.3753;16,290225019950835;1,9189931517145706;14,371231868236265;0.718767;206,95389768848415;75,34749947773665;1606,6747957418013;420,50564737934724;3149,1431613458176;1;0,05;0,9;1,2
6715437,332877327;2757322,1482296;6.68935e+06;1.19415e+07;1.40001;14.3789;16,496068405405474;2,1191036108750874;14,376964794530387;0.718945;196,43290940672264;75,13734001910285;1602,193453857676;435,24909102940745;2952,9282223237174;1;0,05;0,9;1,4000000000000001
6711488,182443189;2811222,204188919;6.6774e+06;1.19526e+07;1.60004;14.3528;16,669604040415752;2,317770457287436;14,351833583128316;0.717641;187,25988319834929;75,09315396773377;1601,2512511893708;449,09866926998706;2780,857501872938;1;0,05;0,9;1,6
6720030,356534791;2863065,0357586886;6.67693e+06;1.19742e+07;1.8001;14.302;16,82081664330627;2,514898623170759;14,305918020135511;0.7151;179,21924364488285;75,1887302060944;1603,2892741405003;462,17870091392575;2629,088323882871;1;0,05;0,9;1,8
6737103,014007433;2913047,725429337;6.68404e+06;1.20023e+07;2.00005;14.2353;16,949405723460362;2,711601184312335;14,237804539148028;0.711763;172,0083310228135;75,37975187839433;1607,3625308305307;474,6491443132101;2492,2402971730435;1;0,05;0,9;2,0
7040869,335690511;2191903,6642765217;7099207.0384446895;12202862.264781775;0.2233889549470829;13.731589437786031;14,750661939433122;0,9075987644912018;13,843063174941921;0.6865794718893016;292,9893098985328;78,77851688315603;1679,8362042457095;302,71320063727273;4750,919288192643;0;0,05;1,0;0,2
6781077,250531947;2232735,0662877103;6778920.2248678235;11922866.435797602;0.3987506930371255;14.421820628627042;15,551409464453133;1,1190582919768486;14,432351172476283;0.7210910314313521;260,23421853827904;75,87176855549839;1617,8540640554827;322,54522862596326;4166,110353947211;0;0,05;1,0;0,4
6595935,339887427;2273979,7509279004;6.59106e+06;1.17748e+07;0.59997;14.7656;16,100909643348942;1,3384053600902415;14,7625042832587;0.73828;236,5496815597766;73,8002622630075;1573,6822339027237;339,1653703203493;3740,9669606744474;1;0,05;1,0;0,6000000000000001
6479533,210132353;2311933,605446704;6.4707e+06;1.16908e+07;0.800046;14.9567;16,507288169994396;1,5477179973083315;14,959570172686066;0.747837;218,3882707483674;72,49786809732369;1545,9105905883541;353,18096621835076;3413,69387510452;1;0,05;1,0;0,8
6402275,247916429;2347755,249065085;6.38831e+06;1.16424e+07;1.00003;15.0656;16,821065606278207;1,7531654009227946;15,067900205355413;0.753278;203,41047970620275;71,63344818117302;1527,478105079968;365,6744287063322;3142,8556578273538;1;0,05;1,0;1,0
6353514,413251476;2381885,2845194284;6.33326e+06;1.16196e+07;1.20001;15.1166;17,070791122814388;1,9559350470359267;15,11485607577846;0.755831;190,77188973481702;71,0878754608531;1515,8445678682745;377,02230391147657;2913,5107884161257;1;0,05;1,0;1,2
6327930,587729409;2414653,87724028;6.30025e+06;1.16174e+07;1.40004;15.1216;17,279891814730945;2,155977425603163;15,123914389127782;0.75608;180,02644947883746;70,80162446900334;1509,7406857613842;387,4283415077023;2717,761790685261;1;0,05;1,0;1,4000000000000001
6318329,469970241;2446213,129581319;6.28212e+06;1.16288e+07;1.59997;15.0962;17,4518582918286;2,354714682640651;15,097143609187947;0.75481;170,64006953574045;70,69419997617067;1507,450016180098;397,12709088278444;2546,161862562858;1;0,05;1,0;1,6
6321793,960252068;2476747,7803093037;6.27599e+06;1.1651e+07;1.79997;15.0464;17,596406823762276;2,5524118272390925;15,043994996523184;0.752318;162,3675798272537;70,73296328694181;1508,2765868672104;406,23557468864055;2394,3651599656823;1;0,05;1,0;1,8
6336647,285248712;2506413,025437383;6.28023e+06;1.16826e+07;2.00002;14.9752;17,722721363122623;2,7488481801711986;14,973873182951424;0.748759;155,05863629968982;70,89915340612038;1511,8203471464008;414,82811774212985;2259,70414539454;1;0,05;1,0;2,0
10050842,159841828;5586107,245238397;1.00505e+07;1.49605e+07;0.200099;1.63493;1,9477903830395964;0,2954090803955601;1,6523813026440364;0.0980958;302,3759025039235;112,45634608860178;2397,966463839458;791,007647188293;4424,529688499144;1;0,06;0,1;0,2
10059473,408407714;6536119,59389205;1.00581e+07;1.49692e+07;0.400097;1.4439;1,9439132730342705;0,48386197435075007;1,4600512986835203;0.0866342;238,09774958380552;112,55291895886137;2400,0257385025056;1022,2374319117818;3084,5967840898797;1;0,06;0,1;0,4
10070318,689923398;7180041,6245195065;1.00671e+07;1.49789e+07;0.600096;1.19438;1,879052531878916;0,6687295975276931;1,210322934351223;0.0716628;194,81868618663222;112,674264087176;2402,6132451961657;1195,8979318811303;2164,436417125965;1;0,06;0,1;0,6000000000000001
10080253,69798375;7674111,802579805;1.00746e+07;1.49867e+07;0.799907;0.94789;1,7915573704958154;0,8600485404163497;0,9315088300794655;0.0568734;161,6774934842794;112,78542439464674;2404,983575539416;1338,7321457005196;1449,965619646969;1;0,06;0,1;0,8
10089918,471008798;8042675,180022867;1.00811e+07;1.49932e+07;0.999909;0.677075;1,7022981250287954;1,0445372700528073;0,6577608549759882;0.0406245;137,06545383691645;112,89356111024608;2407,2894322254647;1450,6685950656463;913,5078687321088;1;0,06;0,1;1,0
10098365,96615526;8338444,34821051;1.00856e+07;1.49975e+07;1.19991;0.410724;1,6130798335510461;1,2306108535074909;0,3824689800435552;0.0246435;117,33161767738589;112,98807800969236;2409,3048663296436;1543,9449765912734;479,8519846929341;1;0,06;0,1;1,2
10106192,646319125;8621705,153950768;1.00889e+07;1.49992e+07;1.40006;0.232807;1,5115241382598419;1,453676941639519;0,05784719662032278;0.0139684;98,61576580611683;113,07564876637474;2411,1721841382077;1635,8785101776605;65,09767274596717;1;0,06;0,1;1,4000000000000001
10868455,84693817;9318538,475421533;10847044.193272457;15756600.244281683;1.6136002223839783;0.0;1,6235726034217628;1,6226946202393857;0,0008779831823772062;0.0;102,94512842835442;121,60442008087419;2593,0357098641125;1774,6929791876348;0,9583091561967815;1;0,06;0,1;1,6
12035091,147104759;10318370,21640548;12010699.277565261;16920752.30111267;1.812321667356567;0.0;1,8213119710210561;1,8205637902781273;0,0007481807429290863;0.0;113,97689368111165;134,65760915580623;2871,375801255497;1965,1264915493325;0,8064398680510257;1;0,06;0,1;1,8
13204029,24696063;11320176,255523505;13176651.884760829;18087191.92773293;2.011119532219508;0.0;2,01920626544717;2,0185556644221947;0,0006506010249757548;0.0;125,03265377648744;147,73656367752494;3150,265302968925;2155,9342855928035;0,6941644632968443;1;0,06;0,1;2,0
9997479,301417965;5142115,052601164;9.99712e+06;1.49109e+07;0.200099;2.4544;2,808668914345113;0,3461618074255666;2,462507106919546;0.147264;328,1489565362805;111,85928248141789;2385,234959068016;697,592031121634;4962,492388005109;1;0,06;0,2;0,2
10005490,061145144;5954391,157582589;1.00041e+07;1.49198e+07;0.400097;2.32806;2,8739874031984356;0,5385816584372717;2,335405744761164;0.139683;273,01223469295667;111,94891285805554;2387,146195248045;882,4715029386903;3826,5859693977513;1;0,06;0,2;0,4
